"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1746S2-015",43584.43,"1981-08-12T02:40:48Z","1981-08-12T04:05:21Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358443.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358443.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1750S2-015",43584.47,"1981-08-12T02:44:00Z","1981-08-12T04:08:33Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358447.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358447.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1753S2-015",43584.50,"1981-08-12T02:44:00Z","1981-08-12T04:10:57Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   3, 0.9600,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358450.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358450.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1757S2-015",43584.54,"1981-08-12T02:49:36Z","1981-08-12T04:14:09Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 2.8800,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358454.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358454.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1761S2-015",43584.58,"1981-08-12T02:52:48Z","1981-08-12T04:17:21Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358458.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358458.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1765S2-015",43585.02,"1981-08-12T02:56:00Z","1981-08-12T04:20:33Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358502.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358502.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1768S2-015",43585.05,"1981-08-12T02:56:00Z","1981-08-12T04:22:57Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 0.2400,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358505.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358505.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1772S2-015",43585.09,"1981-08-12T03:01:36Z","1981-08-12T04:26:09Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 2.8800,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358509.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358509.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1776S2-015",43585.13,"1981-08-12T03:04:48Z","1981-08-12T04:29:21Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358513.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358513.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1780S2-015",43585.17,"1981-08-12T03:08:00Z","1981-08-12T04:32:33Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358517.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358517.IBG            "                                                                                               
