"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0409S1-081",32520.45,"1980-08-24T05:09:22Z","1980-08-24T20:13:13Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3252XXX]C3252045.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3252XXX]C3252045.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0411S1-081",32520.47,"1980-08-24T05:10:58Z","1980-08-24T20:17:39Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 2.8800,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3252XXX]C3252047.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3252XXX]C3252047.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0413S1-081",32520.49,"1980-08-24T05:12:34Z","1980-08-24T20:22:06Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3252XXX]C3252049.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3252XXX]C3252049.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0415S1-081",32520.51,"1980-08-24T05:14:10Z","1980-08-24T20:26:34Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3252XXX]C3252051.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3252XXX]C3252051.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0417S1-081",32520.53,"1980-08-24T05:15:46Z","1980-08-24T20:31:01Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3252XXX]C3252053.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3252XXX]C3252053.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0563S1-081",32523.19,"1980-08-24T07:12:34Z","1980-08-24T20:35:29Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3252XXX]C3252319.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3252XXX]C3252319.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0565S1-081",32523.21,"1980-08-24T07:14:10Z","1980-08-24T21:12:40Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 2.8800,"MANY MISSING LINES; NO SATURN                                                   ","11111111","NONE  ","VG_0026 ","[SATURN.C3252XXX]C3252321.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3252XXX]C3252321.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0567S1-081",32523.23,"1980-08-24T07:15:46Z","1980-08-24T21:14:46Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3252XXX]C3252323.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3252XXX]C3252323.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0569S1-081",32523.25,"1980-08-24T07:17:22Z","1980-08-24T21:19:12Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3252XXX]C3252325.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3252XXX]C3252325.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0571S1-081",32523.27,"1980-08-24T07:18:58Z","1980-08-24T21:23:39Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3252XXX]C3252327.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3252XXX]C3252327.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0717S1-081",32525.53,"1980-08-24T09:15:46Z","1980-08-24T21:28:07Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3252XXX]C3252553.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3252XXX]C3252553.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0719S1-081",32525.55,"1980-08-24T09:17:22Z","1980-08-24T21:32:33Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 2.8800,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3252XXX]C3252555.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3252XXX]C3252555.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0721S1-081",32525.57,"1980-08-24T09:18:58Z","1980-08-24T21:36:41Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3252XXX]C3252557.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3252XXX]C3252557.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0723S1-081",32525.59,"1980-08-24T09:20:34Z","1980-08-24T21:41:10Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3252XXX]C3252559.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3252XXX]C3252559.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0725S1-081",32526.01,"1980-08-24T09:22:10Z","1980-08-24T21:45:36Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0026 ","[SATURN.C3252XXX]C3252601.IMQ            ","VG_0026 ","[BROWSE.SATURN.C3252XXX]C3252601.IBG            "                                                                                               
