"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","1351S1-014",34546.43,"1980-10-30T17:42:58Z","1980-10-30T19:20:42Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3454643.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3454643.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HELENE  ","1354S1-014",34546.46,"1980-10-30T17:42:58Z","1980-10-30T19:23:06Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"DIONE TROJAN _ STUDY OF NEW SATELLITE                                           ","11111111","NONE  ","VG_0004 ","[HELENE]C3454646.IMQ           ","VG_0005 ","[BROWSE.HELENE]C3454646.IBG           "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","0168S1-013",34557.00,"1980-10-31T01:56:34Z","1980-10-31T03:34:18Z","NARROW_ANGLE_CAMERA","5:1    ","BODARK ","LOW    ","1:1    ","GREEN  ",   5,  1.440,"DARK CURRENT CALIBRATION                                                        ","11111111","NONE  ","VG_0004 ","[CALIB]C3455700.IMQ            ","VG_0005 ","[BROWSE.CALIB]C3455700.IBG            "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","DARK    ","0173S1-013",34557.05,"1980-10-31T02:00:34Z","1980-10-31T03:38:18Z","WIDE_ANGLE_CAMERA  ","5:1    ","BODARK ","LOW    ","1:1    ","CH4_JS ",   0,  7.680,"DARK CURRENT CALIBRATION                                                        ","11111111","NONE  ","VG_0004 ","[CALIB]C3455705.IMQ            ","VG_0005 ","[BROWSE.CALIB]C3455705.IBG            "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0777S1-013",34567.09,"1980-10-31T10:03:46Z","1980-11-01T16:27:16Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0,  0.960,"                                                                                ","11111111","NONE  ","VG_0004 ","[SATURN.C3456XXX]C3456709.IMQ  ","VG_0005 ","[BROWSE.SATURN.C3456XXX]C3456709.IBG  "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","HYPERION","0561S1-012",34593.17,"1980-11-01T07:10:58Z","1980-11-01T17:25:23Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"OPTICAL NAVIGATION                                                              ","11111111","NONE  ","VG_0004 ","[HYPERION]C3459317.IMQ         ","VG_0005 ","[BROWSE.HYPERION]C3459317.IBG         "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","ENCELADU","0761S1-012",34596.37,"1980-11-01T09:50:58Z","1980-11-02T10:56:22Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"OPTICAL NAVIGATION                                                              ","11111111","NONE  ","VG_0004 ","[ENCELADU]C3459637.IMQ         ","VG_0005 ","[BROWSE.ENCELADU]C3459637.IBG         "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","MIMAS   ","0655S1-011",34624.51,"1980-11-02T08:26:10Z","1980-11-02T11:26:44Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"OPTICAL NAVIGATION                                                              ","11111111","NONE  ","VG_0004 ","[MIMAS]C3462451.IMQ            ","VG_0005 ","[BROWSE.MIMAS]C3462451.IBG            "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","ENCELADU","1313S1-010",34665.49,"1980-11-03T17:12:34Z","1980-11-03T22:31:13Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"OPTICAL NAVIGATION                                                              ","11111111","NONE  ","VG_0004 ","[ENCELADU]C3466549.IMQ         ","VG_0005 ","[BROWSE.ENCELADU]C3466549.IBG         "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0667S1-009",34685.03,"1980-11-04T08:35:46Z","1980-11-04T10:00:40Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7, 7.6800,"LAST FRAME IN VP2A3 MOSAIC                                                      ","11111111","NONE  ","VG_0004 ","[SATURN.C3468XXX]C3468503.IMQ  ","VG_0005 ","[BROWSE.SATURN.C3468XXX]C3468503.IBG  "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","MIMAS   ","0998S1-009",34690.34,"1980-11-04T13:00:34Z","1980-11-04T17:01:24Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"OPTICAL NAVIGATION                                                              ","11111111","NONE  ","VG_0004 ","[MIMAS]C3469034.IMQ            ","VG_0005 ","[BROWSE.MIMAS]C3469034.IBG            "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","S_RINGS ","1502S1-009",34698.58,"1980-11-04T19:43:46Z","1980-11-04T21:08:40Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.7200,"3 NA CENTERED ON EACH ANSA                                                      ","11111111","NONE  ","VG_0004 ","[S_RINGS.C3469XXX]C3469858.IMQ ","VG_0005 ","[BROWSE.S_RINGS.C3469XXX]C3469858.IBG "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","S_RINGS ","1506S1-009",34699.02,"1980-11-04T19:46:58Z","1980-11-04T21:11:52Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 1.4400,"3 NA CENTERED ON EACH ANSA                                                      ","11111111","NONE  ","VG_0004 ","[S_RINGS.C3469XXX]C3469902.IMQ ","VG_0005 ","[BROWSE.S_RINGS.C3469XXX]C3469902.IBG "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","S_RINGS ","1510S1-009",34699.06,"1980-11-04T19:50:10Z","1980-11-04T21:15:04Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 2.8800,"3 NA CENTERED ON EACH ANSA                                                      ","11111111","NONE  ","VG_0004 ","[S_RINGS.C3469XXX]C3469906.IMQ ","VG_0005 ","[BROWSE.S_RINGS.C3469XXX]C3469906.IBG "                                                                                                                   
"VOYAGER_1","SATURN_ENCOUNTER ","S_RINGS ","1514S1-009",34699.10,"1980-11-04T19:53:22Z","1980-11-04T21:18:16Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.7200,"3 NA CENTERED ON EACH ANSA                                                      ","11111111","NONE  ","VG_0004 ","[S_RINGS.C3469XXX]C3469910.IMQ ","VG_0005 ","[BROWSE.S_RINGS.C3469XXX]C3469910.IBG "                                                                                                                   
