"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0533S2-024",43294.30,"1981-08-02T10:26:24Z","1981-08-02T11:53:25Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   1, 0.1200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329430.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329430.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0538S2-024",43294.35,"1981-08-02T10:34:24Z","1981-08-02T11:57:25Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329435.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329435.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0544S2-024",43294.41,"1981-08-02T10:39:12Z","1981-08-02T12:02:14Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329441.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329441.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0550S2-024",43294.47,"1981-08-02T10:44:00Z","1981-08-02T12:07:02Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329447.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329447.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0555S2-024",43294.52,"1981-08-02T10:44:00Z","1981-08-02T12:11:02Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   3, 0.2400,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329452.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329452.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","TETHYS  ","0580S2-024",43295.17,"1981-08-02T11:08:00Z","1981-08-04T23:28:26Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"                                                                                ","11111111","NONE  ","VG_0035 ","[TETHYS]C4329517.IMQ                     ","VG_0035 ","[BROWSE.TETHYS]C4329517.IBG                     "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","DIONE   ","0646S2-024",43296.23,"1981-08-02T12:00:48Z","1981-08-04T23:31:17Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"                                                                                ","11111111","NONE  ","VG_0035 ","[DIONE]C4329623.IMQ                      ","VG_0035 ","[BROWSE.DIONE]C4329623.IBG                      "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","TITAN   ","0658S2-024",43296.35,"1981-08-02T12:10:24Z","1981-08-04T23:34:07Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"                                                                                ","11111111","NONE  ","VG_0035 ","[TITAN]C4329635.IMQ                      ","VG_0035 ","[BROWSE.TITAN]C4329635.IBG                      "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","IAPETUS ","0672S2-024",43296.49,"1981-08-02T12:21:36Z","1981-08-02T13:44:38Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","2:3    ","VIOLET ",   1, 2.8800,"                                                                                ","11111111","NONE  ","VG_0035 ","[IAPETUS]C4329649.IMQ                    ","VG_0035 ","[BROWSE.IAPETUS]C4329649.IBG                    "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","IAPETUS ","0676S2-024",43296.53,"1981-08-02T12:24:48Z","1981-08-02T13:47:50Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","2:3    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[IAPETUS]C4329653.IMQ                    ","VG_0035 ","[BROWSE.IAPETUS]C4329653.IBG                    "                                                                                               
