"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0398S2-057",42302.15,"1981-06-30T08:42:23Z","1981-06-30T17:19:57Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 3.8400,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4230XXX]C4230215.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4230XXX]C4230215.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0549S2-057",42304.46,"1981-06-30T10:43:11Z","1981-06-30T17:24:24Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4230XXX]C4230446.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4230XXX]C4230446.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0551S2-057",42304.48,"1981-06-30T10:44:47Z","1981-06-30T17:28:48Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 5.7600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4230XXX]C4230448.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4230XXX]C4230448.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0553S2-057",42304.50,"1981-06-30T10:46:23Z","1981-06-30T17:33:15Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4230XXX]C4230450.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4230XXX]C4230450.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0555S2-057",42304.52,"1981-06-30T10:47:59Z","1981-06-30T17:37:41Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.7200,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4230XXX]C4230452.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4230XXX]C4230452.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0557S2-057",42304.54,"1981-06-30T10:49:35Z","1981-06-30T17:41:58Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 3.8400,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4230XXX]C4230454.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4230XXX]C4230454.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","DIONE   ","0675S2-057",42306.52,"1981-06-30T12:23:59Z","1981-06-30T17:46:24Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"                                                                                ","11111111","NONE  ","VG_0034 ","[DIONE]C4230652.IMQ                      ","VG_0034 ","[BROWSE.DIONE]C4230652.IBG                      "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","DIONE   ","0679S2-057",42306.56,"1981-06-30T12:27:11Z","1981-06-30T17:50:49Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 1.9200,"                                                                                ","11111111","NONE  ","VG_0034 ","[DIONE]C4230656.IMQ                      ","VG_0034 ","[BROWSE.DIONE]C4230656.IBG                      "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","DIONE   ","0681S2-057",42306.58,"1981-06-30T12:28:47Z","1981-06-30T17:55:14Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 2.8800,"                                                                                ","11111111","NONE  ","VG_0034 ","[DIONE]C4230658.IMQ                      ","VG_0034 ","[BROWSE.DIONE]C4230658.IBG                      "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0700S2-057",42307.17,"1981-06-30T12:43:59Z","1981-06-30T14:01:12Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0034 ","[SATURN.C4230XXX]C4230717.IMQ            ","VG_0034 ","[BROWSE.SATURN.C4230XXX]C4230717.IBG            "                                                                                               
