"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1220S1-006",34784.16,"1980-11-07T15:58:10Z","1980-11-07T17:23:02Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478416.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478416.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1223S1-006",34784.19,"1980-11-07T15:58:10Z","1980-11-07T17:25:26Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   1, 0.3600,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478419.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478419.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1227S1-006",34784.23,"1980-11-07T16:03:46Z","1980-11-07T17:28:38Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478423.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478423.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1230S1-006",34784.26,"1980-11-07T16:03:46Z","1980-11-07T17:31:02Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   3, 0.9600,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478426.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478426.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1234S1-006",34784.30,"1980-11-07T16:09:22Z","1980-11-07T17:34:14Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478430.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478430.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1237S1-006",34784.33,"1980-11-07T16:09:22Z","1980-11-07T17:36:38Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","ORANGE ",   7, 1.9200,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478433.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478433.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1241S1-006",34784.37,"1980-11-07T16:14:58Z","1980-11-07T17:39:50Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478437.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478437.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1244S1-006",34784.40,"1980-11-07T16:14:58Z","1980-11-07T17:42:14Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CH4_JS ",   0, 7.6800,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478440.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478440.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1248S1-006",34784.44,"1980-11-07T16:20:34Z","1980-11-07T17:45:26Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478444.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478444.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1251S1-006",34784.47,"1980-11-07T16:20:34Z","1980-11-07T17:47:50Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   1, 0.3600,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478447.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478447.IBG            "                                                                                               
