"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0771S2-005",43868.28,"1981-08-21T13:40:47Z","1981-08-21T15:06:43Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386828.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386828.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0774S2-005",43868.31,"1981-08-21T13:40:47Z","1981-08-21T15:09:07Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","ORANGE ",   7, 0.9600,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386831.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386831.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0778S2-005",43868.35,"1981-08-21T13:46:23Z","1981-08-21T15:12:19Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386835.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386835.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0781S2-005",43868.38,"1981-08-21T13:46:23Z","1981-08-21T15:14:43Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   1, 0.2400,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386838.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386838.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0785S2-005",43868.42,"1981-08-21T13:51:59Z","1981-08-21T15:17:55Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386842.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386842.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0788S2-005",43868.45,"1981-08-21T13:51:59Z","1981-08-21T15:20:19Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   3, 0.9600,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386845.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386845.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0792S2-005",43868.49,"1981-08-21T13:57:35Z","1981-08-21T15:23:31Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386849.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386849.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0795S2-005",43868.52,"1981-08-21T13:57:35Z","1981-08-21T15:25:55Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 0.2400,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4386XXX]C4386852.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4386XXX]C4386852.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","RHEA    ","0885S2-005",43870.22,"1981-08-21T15:11:59Z","1981-08-21T19:50:58Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"                                                                                ","11111111","NONE  ","VG_0037 ","[RHEA]C4387022.IMQ                       ","VG_0037 ","[BROWSE.RHEA]C4387022.IBG                       "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0899S2-005",43870.36,"1981-08-21T15:23:11Z","1981-08-21T16:49:08Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0037 ","[SATURN.C4387XXX]C4387036.IMQ            ","VG_0037 ","[BROWSE.SATURN.C4387XXX]C4387036.IBG            "                                                                                               
