"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1649S1+022",35631.25,"1980-12-05T21:38:59Z","1980-12-05T23:04:27Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563125.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563125.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1653S1+022",35631.29,"1980-12-05T21:44:35Z","1980-12-05T23:07:39Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563129.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563129.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1656S1+022",35631.32,"1980-12-05T21:44:35Z","1980-12-05T23:10:03Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563132.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563132.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1660S1+022",35631.36,"1980-12-05T21:50:11Z","1980-12-05T23:13:15Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563136.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563136.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1663S1+022",35631.39,"1980-12-05T21:50:11Z","1980-12-05T23:15:39Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563139.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563139.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1667S1+022",35631.43,"1980-12-05T21:55:47Z","1980-12-05T23:18:51Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563143.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563143.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1670S1+022",35631.46,"1980-12-05T21:55:47Z","1980-12-05T23:21:15Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563146.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563146.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1674S1+022",35631.50,"1980-12-05T22:01:23Z","1980-12-05T23:24:27Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563150.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563150.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1677S1+022",35631.53,"1980-12-05T22:01:23Z","1980-12-05T23:26:51Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563153.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563153.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1681S1+022",35631.57,"1980-12-05T22:06:59Z","1980-12-05T23:30:03Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563157.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563157.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1684S1+022",35632.00,"1980-12-05T22:06:59Z","1980-12-05T23:32:27Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563200.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563200.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1688S1+022",35632.04,"1980-12-05T22:12:35Z","1980-12-05T23:35:39Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563204.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563204.IBG            "                                                                                               
