"VOYAGER_1","SATURN_ENCOUNTER ","SKY     ","0088S1+003",35035.24,"1980-11-16T00:52:35Z","1980-11-16T22:01:50Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"                                                                                ","11111111","NONE  ","VG_0030 ","[OTHER.SKY]C3503524.IMQ                  ","VG_0030 ","[BROWSE.OTHER.SKY]C3503524.IBG                  "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0147S1+003",35036.23,"1980-11-16T01:39:47Z","1980-11-16T03:04:23Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:2    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503623.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503623.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0152S1+003",35036.28,"1980-11-16T01:39:47Z","1980-11-16T03:08:23Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:2    ","BLUE   ",   1, 0.2400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503628.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503628.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0177S1+003",35036.53,"1980-11-16T02:03:47Z","1980-11-16T03:28:23Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:2    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503653.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503653.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0182S1+003",35036.58,"1980-11-16T02:03:47Z","1980-11-16T03:32:23Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:2    ","VIOLET ",   3, 0.7200,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503658.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503658.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0207S1+003",35037.23,"1980-11-16T02:27:47Z","1980-11-16T03:52:23Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:2    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503723.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503723.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0212S1+003",35037.28,"1980-11-16T02:27:47Z","1980-11-16T03:56:23Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:2    ","ORANGE ",   7, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503728.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503728.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0237S1+003",35037.53,"1980-11-16T02:51:47Z","1980-11-16T04:16:22Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:2    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503753.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503753.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0242S1+003",35037.58,"1980-11-16T02:51:47Z","1980-11-16T04:20:22Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:2    ","CH4_JS ",   0, 3.8400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503758.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503758.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0267S1+003",35038.23,"1980-11-16T03:15:47Z","1980-11-16T04:40:22Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:2    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503823.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503823.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0272S1+003",35038.28,"1980-11-16T03:15:47Z","1980-11-16T04:44:22Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:2    ","BLUE   ",   1, 0.2400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503828.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503828.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0291S1+003",35038.47,"1980-11-16T03:34:59Z","1980-11-16T04:59:34Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:2    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503847.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503847.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0297S1+003",35038.53,"1980-11-16T03:39:47Z","1980-11-16T05:04:22Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:2    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503853.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503853.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0302S1+003",35038.58,"1980-11-16T03:39:47Z","1980-11-16T05:08:22Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:2    ","VIOLET ",   3, 0.7200,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503858.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503858.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0327S1+003",35039.23,"1980-11-16T04:03:47Z","1980-11-16T05:28:22Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:2    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503923.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503923.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0332S1+003",35039.28,"1980-11-16T04:03:47Z","1980-11-16T05:32:22Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:2    ","ORANGE ",   7, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503928.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503928.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0357S1+003",35039.53,"1980-11-16T04:27:47Z","1980-11-16T05:52:22Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:2    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503953.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503953.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0362S1+003",35039.58,"1980-11-16T04:27:47Z","1980-11-16T05:56:22Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:2    ","CH4_JS ",   0, 3.8400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3503XXX]C3503958.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3503XXX]C3503958.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0387S1+003",35040.23,"1980-11-16T04:51:47Z","1980-11-16T06:16:22Z","NARROW_ANGLE_CAMERA","5:1    ","BOTSIM ","LOW    ","1:2    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3504XXX]C3504023.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3504XXX]C3504023.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","0392S1+003",35040.28,"1980-11-16T04:51:47Z","1980-11-16T06:20:22Z","WIDE_ANGLE_CAMERA  ","5:1    ","BOTSIM ","LOW    ","1:2    ","BLUE   ",   1, 0.2400,"                                                                                ","11111111","NONE  ","VG_0030 ","[SATURN.C3504XXX]C3504028.IMQ            ","VG_0030 ","[BROWSE.SATURN.C3504XXX]C3504028.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","IAPETUS ","0422S1+003",35040.58,"1980-11-16T05:19:47Z","1980-11-16T06:44:22Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.4400,"                                                                                ","11111111","NONE  ","VG_0030 ","[IAPETUS]C3504058.IMQ                    ","VG_0030 ","[BROWSE.IAPETUS]C3504058.IBG                    "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","IAPETUS ","0428S1+003",35041.04,"1980-11-16T05:24:35Z","1980-11-16T06:49:10Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 0.9600,"                                                                                ","11111111","NONE  ","VG_0030 ","[IAPETUS]C3504104.IMQ                    ","VG_0030 ","[BROWSE.IAPETUS]C3504104.IBG                    "                                                                                               
