"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1209S1+031",35894.05,"1980-12-14T15:49:23Z","1980-12-14T17:11:40Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589405.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589405.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1212S1+031",35894.08,"1980-12-14T15:49:23Z","1980-12-14T17:14:04Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589408.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589408.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1216S1+031",35894.12,"1980-12-14T15:54:59Z","1980-12-14T17:17:16Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589412.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589412.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1219S1+031",35894.15,"1980-12-14T15:54:59Z","1980-12-14T17:19:40Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589415.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589415.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1223S1+031",35894.19,"1980-12-14T16:00:35Z","1980-12-14T17:22:52Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589419.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589419.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1226S1+031",35894.22,"1980-12-14T16:00:35Z","1980-12-14T17:25:16Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589422.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589422.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1230S1+031",35894.26,"1980-12-14T16:06:11Z","1980-12-14T17:28:28Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589426.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589426.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1233S1+031",35894.29,"1980-12-14T16:06:11Z","1980-12-14T17:30:52Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589429.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589429.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1237S1+031",35894.33,"1980-12-14T16:11:47Z","1980-12-14T17:34:04Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589433.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589433.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1240S1+031",35894.36,"1980-12-14T16:11:47Z","1980-12-14T17:36:28Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589436.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589436.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1244S1+031",35894.40,"1980-12-14T16:17:23Z","1980-12-14T17:39:40Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589440.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589440.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1247S1+031",35894.43,"1980-12-14T16:17:23Z","1980-12-14T17:42:04Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589443.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589443.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1251S1+031",35894.47,"1980-12-14T16:22:59Z","1980-12-14T17:45:16Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589447.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589447.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1254S1+031",35894.50,"1980-12-14T16:22:59Z","1980-12-14T17:47:40Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589450.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589450.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1258S1+031",35894.54,"1980-12-14T16:28:35Z","1980-12-14T17:50:52Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589454.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589454.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1261S1+031",35894.57,"1980-12-14T16:28:35Z","1980-12-14T17:53:16Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0033 ","[SATURN.C3589XXX]C3589457.IMQ            ","VG_0033 ","[BROWSE.SATURN.C3589XXX]C3589457.IBG            "                                                                                               
