"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1173S1-046",33583.29,"1980-09-28T15:20:34Z","1980-09-28T21:48:23Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3358XXX]C3358329.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3358XXX]C3358329.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1311S1-046",33585.47,"1980-09-28T17:10:58Z","1980-09-28T18:35:02Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3358XXX]C3358547.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3358XXX]C3358547.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1317S1-046",33585.53,"1980-09-28T17:15:46Z","1980-09-28T18:39:50Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 2.8800,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3358XXX]C3358553.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3358XXX]C3358553.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1323S1-046",33585.59,"1980-09-28T17:20:34Z","1980-09-28T18:44:38Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3358XXX]C3358559.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3358XXX]C3358559.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1329S1-046",33586.05,"1980-09-28T17:25:22Z","1980-09-28T18:49:26Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3358XXX]C3358605.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3358XXX]C3358605.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1335S1-046",33586.11,"1980-09-28T17:30:10Z","1980-09-28T18:54:14Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3358XXX]C3358611.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3358XXX]C3358611.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1465S1-046",33588.21,"1980-09-28T19:14:10Z","1980-09-28T20:38:14Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3358XXX]C3358821.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3358XXX]C3358821.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1471S1-046",33588.27,"1980-09-28T19:18:58Z","1980-09-28T20:43:02Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 2.8800,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3358XXX]C3358827.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3358XXX]C3358827.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1477S1-046",33588.33,"1980-09-28T19:23:46Z","1980-09-28T20:47:50Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3358XXX]C3358833.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3358XXX]C3358833.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1483S1-046",33588.39,"1980-09-28T19:28:34Z","1980-09-28T20:52:38Z","NARROW_ANGLE_CAMERA","5:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0027 ","[SATURN.C3358XXX]C3358839.IMQ            ","VG_0027 ","[BROWSE.SATURN.C3358XXX]C3358839.IBG            "                                                                                               
